name,adm1_code,WHO_REGION,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,PERSONS_BOOSTER_ADD_DOSE_PER100,NUMBER_VACCINES_TYPES_USED
Morocco,MAR,EMRO,149.915,67.764,63.699,18.717,10
Mozambique,MOZ,AFRO,62.313,59.464,43.427,2.336,3
Myanmar,MMR,SEARO,118.637,63.917,50.626,4.094,2
Namibia,NAM,AFRO,37.984,23.488,20.463,6.273,4
Nauru,NRU,WPRO,222.845,96.853,79.241,46.751,2
Nepal,NPL,SEARO,204.802,93.89,81.467,29.445,8
Netherlands,NLD,EURO,207.4,73.398,68.689,54.098,6
New Caledonia,NCL,WPRO,164.363,67.1,64.453,32.81,2
New Zealand,NZL,WPRO,246.06,88.199,84.892,56.241,4
Nicaragua,NIC,AMRO,180.238,92.304,87.933,0,9
Niger,NER,AFRO,29.092,24.519,21.384,0,2
Nigeria,NGA,AFRO,44.413,31.038,24.933,2.998,1
Niue,NIU,WPRO,258.344,101.978,88.752,67.614,1
North Macedonia,MKD,EURO,89.4,41.151,40.36,7.776,7
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,200.144,80.617,78.326,41.984,3
Norway,NOR,EURO,226.1,80.947,75.627,55.956,4
occupied Palestinian territory,PSE,EMRO,73.481,39.455,34.833,6.605,10
Oman,OMN,EMRO,138.762,63.787,59.703,15.272,11
Pakistan,PAK,EMRO,142.191,69.917,59.424,20.927,11
Palau,PLW,WPRO,277.25,111.066,101.719,71.059,3
Panama,PAN,AMRO,200.966,81.42,73.215,40.495,2
Papua New Guinea,PNG,WPRO,5.568,4.045,3.373,0.334,4
Paraguay,PRY,AMRO,132.482,55.679,49.418,22.809,8
Peru,PER,AMRO,258.522,90.748,85.831,65.092,4
Philippines,PHL,WPRO,153.636,71.274,67.179,18.913,11
Pitcairn Islands,PCN,WPRO,276,110,74,46,1
Poland,POL,EURO,152.1,60.35,59.627,32.828,5
Portugal,PRT,EURO,258.4,94.974,86.246,67.832,11
Puerto Rico,PRI,AMRO,274.93,109.29,96.426,60.797,4
Qatar,QAT,EMRO,263.659,98.875,98.875,65.909,10
Republic of Korea,KOR,WPRO,257.009,88.006,87.166,65.628,5
Republic of Moldova,MDA,EURO,56,27.349,26.603,9.476,7
Romania,ROU,EURO,83.2,42.339,42.095,9.114,4
Russian Federation,RUS,EURO,124.1,58.994,53.373,0,2
Rwanda,RWA,AFRO,201.56,81.631,71.609,45.39,7
Saba,XCA,AMRO,231.298,87.274,85.722,58.303,0
Saint Helena,SHN,AFRO,129.995,71.833,58.162,0,1
Saint Kitts and Nevis,KNA,AMRO,120.742,63.532,50.654,6.514,3
Saint Lucia,LCA,AMRO,66.971,32.751,29.936,4.284,5
Saint Vincent and the Grenadines,VCT,AMRO,65.75,33.633,28.334,3.783,5
Samoa,WSM,WPRO,221.967,96.299,89.454,36.214,2
San Marino,SMR,EURO,204.3,76.501,68.595,56.158,2
Sao Tome and Principe,STP,AFRO,103.853,58.142,47.257,14.889,2
Saudi Arabia,SAU,EMRO,195.431,77.36,72.761,45.311,10
Senegal,SEN,AFRO,14.749,10.346,7.543,3.535,3
Serbia,SRB,EURO,97,49.033,47.949,0,5
Seychelles,SYC,AFRO,222.03,87.161,82.945,44.898,4
Sierra Leone,SLE,AFRO,62.133,45.05,35.322,0.964,2
Singapore,SGP,WPRO,251.739,88.258,87.583,75.898,4
Sint Eustatius,XBA,AMRO,135.616,57.056,53.711,24.849,0
Sint Maarten,SXM,AMRO,152.78,69.465,62.166,21.149,3
Slovakia,SVK,EURO,131.9,52.013,51.127,30.865,7
Slovenia,SVN,EURO,144,58.784,57.33,31.281,6
Solomon Islands,SLB,WPRO,80.279,46.453,31.682,2.543,4
Somalia,SOM,EMRO,51.179,44.909,37.363,0,11
South Africa,ZAF,AFRO,63.859,40.246,35.32,6.427,2
South Sudan,SSD,AFRO,19.658,19.209,18.834,0,2
Spain,ESP,EURO,229.6,87.244,79.204,55.35,4
Sri Lanka,LKA,SEARO,187.345,80.061,68.896,38.387,6
Sudan,SDN,EMRO,26.762,20.975,16.49,1.124,11
